Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
.....64.5..6.1....84....7.628.....4..7....58.1...7...2....5.....5....2.972..69..8,27,180,5,4,1,2,0,12,20,Expert,
.4.6.....3.......5.7..5..12.8...6...2......4.4.1...3.6..8.....17.3..15...5.....7.,24,48,9,1,0,0,0,0,0,Intermediate,
73.........8.6.....9...86.5....9...8...2.....21.6.75..17.3.....3.2..1....5.....7.,24,52,5,4,0,0,0,0,0,Intermediate,
.4..........6.4..8.2.8....1......15...7...8..2...5..9689.26.....7..9.4...51....6.,25,40,16,0,0,0,0,0,0,Easy,
..9..8........5...1......294.......7678..........5...6.4...69.....4..2.5.261.7.48,25,46,9,0,0,0,0,1,0,Expert,
......9.....5....85..83....35..82.....6...2....937..4.76........3.4.5.76..2......,24,42,15,0,0,0,0,0,0,Easy,
79.8...6....4....9..6..347.4...7..523.....8...28........7...9.6.3.........2.5..83,26,40,15,1,0,2,0,0,0,Intermediate,
.5....2.7.2.4.7..9..35...4..3.....9.....3..71........2..93.2......9..1.82.1.4....,25,38,17,0,0,1,0,1,0,Expert,
........5.1.6.....98.35.6..6..5.81..3....2..9..2..17.6.......97..8.1..3.2........,25,39,17,0,0,0,0,0,0,Easy,
.479....88..6...2....58.7.9..487...3..83.5.4.95.4..2..6...............65.7......2,28,36,16,1,0,1,0,1,0,Expert,
2..1.4.93.8.7......1726.......4...3.86...91.7..............6..1......24....34...9,25,45,11,0,0,0,0,0,0,Easy,
9.15....763...........8...13..6.4.....8....69..5.1...4.1.....9........18..4...5.6,24,57,18,1,0,0,0,2,2,Expert,
..1...8..4............967....5.8.61.92..............8.1.96...45.5..2.16...69.....,24,27,29,0,0,0,0,1,0,Expert,
........1......3.......3856.5....6..36.....25.7.8...3..124..5.76..21.....8..7.4..,26,50,5,0,0,0,0,0,0,Easy,
.....7..55..82.9.....39.2.....4..76...4.59.....8.....2...6.2.8..87.4..........3..,24,48,9,0,1,2,2,0,0,Intermediate,
.2.5...1.6.3....82..93...6529.....3..6.789............9.8..3..7.1.8...53.........,26,53,2,0,0,0,0,0,0,Easy,
.98.671..645.................94.2.1..7..9.........68.7...1.45...56........1.8...4,25,39,17,0,0,0,0,0,0,Easy,
6...8.23.4..2..5...3...1...8....9.....91......2.35.....4.....8..9...2...5.8.43.1.,25,37,18,0,0,1,1,1,0,Expert,
6..95...3..83..72....6...9......5.....7..8.5............3..6.122...1...95.6....7.,24,50,7,0,0,0,0,0,0,Easy,
6.1..3.8.....5..7.8..72..6..5........8...2.93..7.....51..9.......2....5..3....1..,23,35,21,0,0,0,0,2,0,Expert,
...1.......6....34...3..65.2...........93.5.....6...7...5...4...2..45..1.73.6....,22,37,22,0,0,0,0,0,0,Easy,
.......1..82.9....9.4.8..6.....64..7...5.....5492........6.....8.5.174.....9456..,26,41,14,0,0,0,0,0,0,Easy,
7..9....4...8..1..3...2.8....21.8.35.....2.9....49.........572...4.3...1.........,23,46,12,0,0,0,0,0,0,Easy,
.......83...19......8.65...78......9.64.5..3....4....56..9...7........1..1763.5.8,26,41,14,0,0,0,0,0,0,Easy,
....5.......13.....92.4836..4....8..6.......3.5.3.1.....4....26.29..4....8....59.,25,44,12,1,0,0,0,0,0,Intermediate,
..9..83...3.5.79.8..8.4.7.5..3.......7...2.5..247........32.4..8....4.....2..1.7.,27,30,23,2,0,0,1,1,0,Expert,
42..38.158....1......4....254...3......1.4..3...98....6.5319..4...2......9..46...,28,40,11,4,0,1,0,2,0,Expert,
2..1...5.........6....4.7.3.362.....1.5.6..4.4......95...63..........2...6..124..,24,36,28,0,1,2,0,3,2,Expert,
.6....3.73....1....4....86.....249..41.......7..1..43..37.....98...46.........2.8,25,39,17,0,0,0,0,0,0,Easy,
48........95..3.6....2..19...1.......3..8...6.4....3.1.6...4........95.35.8.1....,24,49,8,0,0,0,0,0,0,Easy,
..49.5.6.3..6....5..7.4...95....48..73.28.....2..9.3.7..5...27........9.........8,26,50,5,0,0,0,0,0,0,Easy,
4962.............458.......8...6.5.....41...3.63....2.1.2......9..6832...3.......,24,47,10,0,0,0,0,0,0,Easy,
45..3..1.6...8.59............7.53.6.56...4..1.936....8.....83.9..4.....57...4....,27,39,15,0,0,0,0,0,0,Easy,
63..5..9.5....1743..8...5..9.1..5.........184.8........9.....3.3.......77.6.9.4..,26,44,11,0,0,0,0,0,0,Easy,
.7..6......87.2.15..3.91....17...6..96....23.8..61..5.5...7.....8.....2.329......,28,37,16,3,0,0,0,0,0,Intermediate,
..7...3...4..2....2......89...36.8...36..7.5.4..5.8.2....8.697....9.3.6..........,25,33,23,0,0,0,0,0,0,Easy,
.....2..11...7..4..2.5...8...........468.......8.....3...217....7...46.......635.,22,51,8,0,0,0,0,0,0,Easy,
.....94.....2.7..35.346....32..9.....6.72......7.8.9..7.5..3.4........7..94...6..,26,40,13,1,0,0,1,2,0,Expert,
...6..5...2........19.2..74..1....5.47......9......8.6.45..9.1..9.....2.1.7..2.95,26,50,5,1,0,0,0,0,0,Intermediate,
..1.3.4.....6...7........6........13.4.72..9.1.2.....6.6.2..9..98..6...7...8.4...,24,45,12,0,0,0,0,0,0,Easy,
6...1...........78.8723.56...137.82.5......1.73................3..16.7.2196......,27,32,22,0,0,0,0,0,0,Easy,
9.......7.7.9.1..42...3.1...2.1...........4....9523......38..9..4....8.13........,23,41,17,2,0,2,0,0,0,Intermediate,
..7....85...7....4...9..7..59..2.81......9.238....4......53..42....4.5...2...8...,25,31,25,0,0,0,0,0,0,Easy,
...269.1..2.....68..........79.31.8.....2.3.......76.....1..59.6.......39.85.....,24,46,11,5,0,2,0,0,0,Intermediate,
..25.18..9..2.43...8..97.1.5.......9....7........3..7.351...2..7....8.....9.....5,25,53,3,0,0,0,0,0,0,Easy,
9.273...1.43..92..........7.3...6......1...4..14.2.9.6..........6.2...5....9...14,25,42,13,4,1,3,0,1,0,Expert,
..89......4..36...6..8...7.8..41.....36.............9.4...97.3.1..28...9.2...1..4,25,48,8,0,0,0,0,0,0,Easy,
..5643..9.....963.....7..8.....3...85.49.2...3..5....26..7.8.9...2...5.........76,27,36,17,0,3,1,0,1,0,Expert,
57.3...9.9.....4.66......71......3...4....715..1....2...76.4.......396......51..7,26,39,15,0,1,0,0,1,0,Expert,
...9.7....29.46..15.....2...7..1..6..1........4..627........9.7....8....8..6.4..5,24,39,18,0,0,0,0,0,0,Easy,
...4..9...2..7....5.....1.2..53.9.87....543.9.4..8...1...9.....3.7...5......258..,26,40,15,0,0,0,0,0,0,Easy,
.3...1.6.......9.3.....7....1..29.....254....6...1..5...643..914.5..6...1...9....,25,46,10,0,0,0,0,0,0,Easy,
4.2568..3..8..1......4.....5..74.......3.6.......15...2...8.76..7.....3514......2,26,37,17,2,2,0,0,1,0,Expert,
.9...6....8..2.......3...5...........3.698..7659......37.8..64...2..9......4.7..2,24,43,14,0,0,0,0,0,0,Easy,
3.....6....2..93...5.....18......26..9...7...1.8.5......1.8..37.7.1..5..6.5......,24,158,29,4,4,5,1,18,30,Expert,
..63.9.4..78.........5..7..9......677.....3.9.8.......3.5..8..4...4...956....5.2.,25,34,22,0,0,0,0,0,0,Easy,
....41......8.....6.47....8.1.35.7.2......61..5.4.7.83....8....8....3..6367......,26,57,19,1,0,2,0,5,4,Expert,
..8.....925....1...1.5..68753...6....9......618..9253.......9.1.......2..65...3..,27,49,3,1,1,0,0,2,0,Expert,
..2..3..46.9...7...3.6......9....3........2.....95.......5...7..8.39.6..7...24..8,23,46,12,0,0,0,0,0,0,Easy,
3.1.......9.17......7.94.32.....8...234....7.1......24.....69..........8.8....761,25,37,19,1,0,1,0,0,0,Intermediate,
....87.....5293.8..2........5..41..3.4.8.2....719....4.94........2.1..9.1.7.5..32,29,38,14,0,0,0,0,0,0,Easy,
.74.5.32....9........3...15.....6..........629..52.4.........91.1..69.4...3..47..,25,43,13,2,0,0,0,0,0,Intermediate,
..3...687.......9..9..1.2......613.2.......1....3..7..632.7....8.7..94......28...,25,51,15,0,0,1,1,5,2,Expert,
.9......17.4.8.6.36.31..87.......19......9..53.......8..8.....6..78.14....54.....,26,61,8,0,0,0,0,4,4,Expert,
....9.......187........2.719...43....2.87..69......32......8.1.1...2.9.84.391....,27,144,15,4,1,1,0,13,18,Expert,
.69....73...51...4.......6.7.4...2..6...73....1..5.....4......2..5...71........3.,22,42,17,1,0,3,0,0,0,Intermediate,
8.....4.64..1.....29.....8...72...1.....1.6.9........2....8......6.2.3913....6...,23,37,21,2,0,1,0,0,0,Intermediate,
...........5....2.6...1895..4....3.156...3.8..2..8....35...16...9.2..4.5..1......,25,46,10,1,0,0,0,0,0,Intermediate,
...68..293..1..5....5..2..825..9.....964.....14............3281.....643..........,25,45,11,2,0,1,0,0,0,Intermediate,
96..5784......4.2...8......65..78...8....2............39..86452.....937.4..7..68.,29,50,2,0,0,0,0,0,0,Easy,
...5......423....6......2.7......9.2.1..4.37..6......45...96.43....3.5.....7.2..9,25,33,23,1,0,0,0,0,0,Intermediate,
.........1.........35..7..4..7.92..5..1.74.2....1....7342..1.5....5...6.5.9.4.3.1,27,48,6,1,1,1,0,0,0,Intermediate,
....9.6.15.4.63.7......5.......5.........7...34........1.....43...7..59..9.4..7.8,23,46,12,0,0,0,0,0,0,Easy,
1..7...6.5.....1..9..2.4...64.....25.7..3..1...25....67......5...........3..6.97.,24,52,5,0,0,0,0,0,0,Easy,
....7...........91.4....2..96.5.48..1.........8......78.4.21....2.7...15.9......8,23,36,22,0,0,0,0,0,0,Easy,
..1.6874...3147..6..........748.1.....87.6..5...45.1........2.8.....265....6..3.1,29,45,7,0,0,0,0,0,0,Easy,
..1...6..........3..7...958.8...914.9.57.1....1...58..6.9.53.......9.4.........6.,25,47,9,0,0,1,0,0,0,Intermediate,
....8........12.....93.......6.5....5..1..78.8..9....67....3.29218....3.....7.85.,25,58,10,0,0,0,0,2,2,Expert,
...643...48..........7...9...82.....53...82.7.2..7..563.......29..4......5...9...,24,73,9,1,1,2,0,2,2,Expert,
.4....9.7..2....8.379..........963....7.......6.8.......89.3.627..1.......42..71.,25,37,16,3,2,3,0,3,0,Expert,
.9...58...4......1....6.....29...4...7.69..1..1.....25....8.69.4.19......5.7.....,24,57,12,1,0,0,1,4,4,Expert,
...8...41..............9.38..1.62....72.8..943..9.7.1...8.4..6...4...789...7....3,27,49,5,0,0,0,0,0,0,Easy,
..7...5.1...4.6.29.5.....4...98..4..8...271.............85....2...2.196......4...,24,56,16,1,0,1,2,2,2,Expert,
4.2.......3.7..8.2.6.3......78.4.1.....6...8.2......7....27.....478.62.91...3....,26,31,24,1,0,0,0,0,0,Intermediate,
..........17.4...9.28.7..1..4.9.58.1.957......81...6.....85.1.........2........64,25,57,11,2,0,0,0,2,2,Expert,
......4.898.5..73.67..3.........5..3.1..7.......4...69....63...7.......5.3.1.4...,24,29,26,3,0,3,0,2,0,Expert,
..9.2..5..1.4..6..43...6.2.............8..4..8..3...1526..8....3..56.2...4......3,25,32,24,0,0,0,0,0,0,Easy,
.....4.1....6.2...41.9......41....3892.8....6.5....29.3....9.8....38...1.8..26...,27,58,14,1,1,0,0,4,2,Expert,
.....4..8.5....6.........2...2.9...6....427....17...4..865...7954.8......2...1.6.,25,53,13,3,1,1,0,3,2,Expert,
73.4.18.......53.......6.454...587.21....3.....2.1.........2..3...8.........6425.,26,39,16,0,0,0,0,0,0,Easy,
.843....2.......6.2......4....4...3.7..83.1....1...5.46..2...7342....61..53.....8,27,44,10,0,0,0,0,0,0,Easy,
.................6..49.......7.8.1..5...1.36.8...53..47.1...59.6...3..1...8..7...,23,43,15,0,0,0,0,0,0,Easy,
.572.8.1.........9...375....2...9..5.....724....4.....1.........95.82..4..49.3...,25,54,18,1,0,4,0,5,2,Expert,
.39.7....16..38..9.789...13.......6.2...1..........5........97...1.86.....672...1,26,87,20,5,0,0,0,8,14,Expert,
5.6..2...9..7...25...3...7..1.5....2...1.....6...2..34......7.9....1...6...6.954.,25,79,8,2,0,0,0,6,8,Expert,
..48.5.2...72......2.94..8.27....6..9.3.....2......4.....49.3...5........893...6.,25,40,19,1,0,4,0,3,2,Expert,
...7..4.3.9.........4......4..29.1...72..3....6..7....3..9....5..16...74.5.31.2..,25,35,20,1,0,0,0,1,0,Expert,
.87...2....3.....8....3...13...78...57.2...1...21....9.1...752..29.....6.........,24,43,12,1,0,3,1,2,0,Expert,
...9..4..4.8..7....3..4...23......8..2........81..3........42.6..92..1..26..8.3.7,25,41,15,0,0,4,0,0,0,Intermediate,
8...21............6......4..18.5..3...39..8..56.2.....3.9...6.2.82...3......8..51,25,39,17,0,0,0,0,0,0,Easy,
